loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
16227,Kepler-172 c,Kepler-172,c,1,4,2014,6.38900035,NA,NA,NA,NA,5429,828.592
16239,Kepler-172 d,Kepler-172,d,1,4,2014,14.62677024,NA,NA,NA,NA,5429,828.592
16251,Kepler-172 e,Kepler-172,e,1,4,2014,NA,3.287,NA,NA,NA,5613,828.592
7452,Kepler-1051 b,Kepler-1051,b,1,1,2016,25.96264,2.5,NA,797,NA,6797,829.343
17920,Kepler-1861 b,Kepler-1861,b,1,1,2021,40.03252,1.93,NA,577,NA,6119,829.985
2878,HD 211403 b,HD 211403,b,1,1,2021,223.8,NA,NA,380,F7 V,6273,83.0919
3580,HD 73534 b,HD 73534,b,1,1,2008,1707,NA,NA,NA,NA,NA,83.3321
4686,K2-21 b,K2-21,b,1,2,2015,9.3251498,1.89,NA,NA,NA,4024,83.6448
4691,K2-21 c,K2-21,c,1,2,2015,15.4941223,NA,NA,NA,NA,4047,83.6448
28151,Kepler-521 b,Kepler-521,b,1,1,2016,22.20809549,3.02,NA,803,NA,6336,830.638
31559,Kepler-761 b,Kepler-761,b,1,1,2016,10.12805158,NA,NA,NA,NA,5582.19,830.707
33749,Kepler-916 b,Kepler-916,b,1,1,2016,32.2968798,1.84,NA,496,NA,5412,830.712
35057,NGC 2682 YBP 401 b,NGC 2682 YBP 401,b,1,1,2016,4.087,NA,NA,NA,F9 V,6165,830.822
14963,Kepler-1606 b,Kepler-1606,b,1,1,2016,196.4356,2.23,NA,324,NA,5461,831.287
33903,Kepler-927 b,Kepler-927,b,1,1,2016,9.11501356,NA,NA,NA,NA,5554,831.685
31105,Kepler-727 b,Kepler-727,b,1,1,2016,5.154484417,2.65,NA,964,NA,5431,831.842
10588,Kepler-1271 b,Kepler-1271,b,1,1,2016,3.0255955,1.2,NA,1351,NA,6184,831.991
22642,Kepler-29 b,Kepler-29,b,1,2,2011,10.3384,3.35,4.51,NA,NA,5701,832.532
22655,Kepler-29 c,Kepler-29,c,1,2,2011,13.28689074,1023.268,NA,NA,NA,5378,832.532
17811,Kepler-1858 b,Kepler-1858,b,1,1,2021,88.0712769,2.4,NA,330,NA,4939,833.055
16344,Kepler-173 b,Kepler-173,b,1,2,2014,4.26374847,1.49,NA,NA,NA,5926,833.165
16355,Kepler-173 c,Kepler-173,c,1,2,2014,8.005783665,2.41,NA,956,NA,6032,833.165
31363,Kepler-75 b,Kepler-75,b,1,1,2013,8.88492372,NA,NA,NA,NA,5160,835.356
16069,Kepler-1704 b,Kepler-1704,b,1,1,2013,988.8811177,10.81,NA,223,NA,5755,835.455
20503,Kepler-23 b,Kepler-23,b,1,3,2011,7.1070972762,NA,NA,NA,NA,5861.98,835.756
20518,Kepler-23 c,Kepler-23,c,1,3,2011,10.742,3.2,60.2,NA,NA,NA,835.756
20532,Kepler-23 d,Kepler-23,d,1,3,2014,15.27438229,2.28,NA,910,NA,5828,835.756
22547,Kepler-287 b,Kepler-287,b,1,2,2014,20.34234237,2.152,NA,NA,NA,5547,835.86
22560,Kepler-287 c,Kepler-287,c,1,2,2014,44.851978,NA,NA,NA,NA,5486.3,835.86
12170,Kepler-1386 b,Kepler-1386,b,1,1,2016,6.739726,1.12,NA,914,NA,5706,835.882
15167,Kepler-1623 b,Kepler-1623,b,1,1,2016,4.36128348,1.3,NA,1090,NA,5817,837.481
21385,Kepler-253 b,Kepler-253,b,1,3,2014,3.7840235272,NA,NA,NA,NA,5017,838.595
21396,Kepler-253 c,Kepler-253,c,1,3,2014,10.2820341549,NA,NA,NA,NA,5017,838.595
21408,Kepler-253 d,Kepler-253,d,1,3,2014,18.11993039,2.95,NA,563,NA,5196,838.595
14460,Kepler-1561 b,Kepler-1561,b,1,1,2016,1.005207007,0.89,NA,1683,NA,5717,839.076
32970,Kepler-851 b,Kepler-851,b,1,1,2016,8.50698069,1.9,NA,900,NA,5822,839.255
17209,Kepler-1801 b,Kepler-1801,b,1,2,2021,10.44087398,NA,NA,NA,NA,5455,839.332
17217,Kepler-1801 c,Kepler-1801,c,1,2,2023,116.582614,3.43,NA,371,NA,5738,839.332
29907,Kepler-630 b,Kepler-630,b,1,1,2016,161.4746786,NA,NA,NA,NA,5775.73,839.784
33044,Kepler-859 b,Kepler-859,b,1,1,2016,20.381496177,NA,NA,NA,NA,4898,839.903
36863,TOI-5803 b,TOI-5803,b,1,1,2023,5.3829728,3.5038,NA,816,NA,5134,84.0126
3390,HD 47366 b,HD 47366,b,1,2,2016,359.15,NA,NA,NA,NA,4914,84.3552
3393,HD 47366 c,HD 47366,c,1,2,2016,684.7,NA,NA,NA,K1 III,4866,84.3552
210,BD-10 3166 b,BD-10 3166,b,1,1,2000,3.48777,NA,NA,NA,NA,5393,84.4069
